date,inflow,evaporation,release,elevation,storage,reservoir,capacity
Jan 2012,32,1,74,6479.61,165,Fontenelle Reservoir,345
Feb 2012,30,0,69,6471.56,126,Fontenelle Reservoir,345
Mar 2012,64,0,67,6470.82,123,Fontenelle Reservoir,345
Apr 2012,98,1,60,6478.72,160,Fontenelle Reservoir,345
May 2012,130,1,62,6489.92,227,Fontenelle Reservoir,345
Jun 2012,189,2,99,6502.11,315,Fontenelle Reservoir,345
Jul 2012,92,3,75,6503.94,329,Fontenelle Reservoir,345
Aug 2012,36,2,68,6499.56,296,Fontenelle Reservoir,345
Sep 2012,23,2,54,6495.11,263,Fontenelle Reservoir,345
Oct 2012,29,1,53,6491.56,238,Fontenelle Reservoir,345
Nov 2012,35,1,51,6489.08,221,Fontenelle Reservoir,345
Dec 2012,28,1,52,6485.19,196,Fontenelle Reservoir,345
Jan 2012,132,2,148,6029.85,3477,Flaming Gorge Reservoir,3789
Feb 2012,133,2,140,6028.43,3421,Flaming Gorge Reservoir,3789
Mar 2012,211,3,162,6026.95,3363,Flaming Gorge Reservoir,3789
Apr 2012,234,5,122,6026.21,3334,Flaming Gorge Reservoir,3789
May 2012,238,8,178,6023.57,3233,Flaming Gorge Reservoir,3789
Jun 2012,286,10,87,6023.59,3233,Flaming Gorge Reservoir,3789
Jul 2012,169,12,84,6023.04,3212,Flaming Gorge Reservoir,3789
Aug 2012,89,12,80,6022.19,3181,Flaming Gorge Reservoir,3789
Sep 2012,69,10,68,6021.43,3152,Flaming Gorge Reservoir,3789
Oct 2012,72,7,52,6021.15,3142,Flaming Gorge Reservoir,3789
Nov 2012,94,3,49,6021.23,3145,Flaming Gorge Reservoir,3789
Dec 2012,75,2,70,6020.63,3123,Flaming Gorge Reservoir,3789
Jan 2012,4,0,5,9307.37,66,Taylor Park Reservoir,106
Feb 2012,4,0,4,9307.22,66,Taylor Park Reservoir,106
Mar 2012,6,0,4,9308.28,67,Taylor Park Reservoir,106
Apr 2012,10,0,4,9311.81,73,Taylor Park Reservoir,106
May 2012,16,0,8,9316.4,81,Taylor Park Reservoir,106
Jun 2012,9,0,15,9312.87,75,Taylor Park Reservoir,106
Jul 2012,6,0,14,9307.53,66,Taylor Park Reservoir,106
Aug 2012,4,0,12,9302.28,58,Taylor Park Reservoir,106
Sep 2012,4,0,6,9300.8,56,Taylor Park Reservoir,106
Oct 2012,4,0,4,9301.04,57,Taylor Park Reservoir,106
Nov 2012,3,0,3,9301.07,57,Taylor Park Reservoir,106
Dec 2012,3,0,3,9301.09,57,Taylor Park Reservoir,106
Jan 2012,45,0,52,7485.29,545,Blue Mesa Reservoir,830
Feb 2012,43,0,34,7483.66,533,Blue Mesa Reservoir,830
Mar 2012,79,0,32,7484.49,539,Blue Mesa Reservoir,830
Apr 2012,108,1,58,7483.54,532,Blue Mesa Reservoir,830
May 2012,140,1,71,7482.82,527,Blue Mesa Reservoir,830
Jun 2012,95,1,93,7476.82,483,Blue Mesa Reservoir,830
Jul 2012,69,1,90,7469.29,431,Blue Mesa Reservoir,830
Aug 2012,64,1,79,7462.48,387,Blue Mesa Reservoir,830
Sep 2012,40,1,67,7454.82,340,Blue Mesa Reservoir,830
Oct 2012,40,0,33,7452.55,327,Blue Mesa Reservoir,830
Nov 2012,38,0,19,7452.39,326,Blue Mesa Reservoir,830
Dec 2012,36,0,16,7452.65,328,Blue Mesa Reservoir,830
Jan 2012,53,0,52,7155.61,113,Morrow Point Reservoir,117
Feb 2012,35,0,35,7155.27,113,Morrow Point Reservoir,117
Mar 2012,35,0,34,7156.25,114,Morrow Point Reservoir,117
Apr 2012,64,0,63,7157.05,115,Morrow Point Reservoir,117
May 2012,76,0,79,7154.07,112,Morrow Point Reservoir,117
Jun 2012,93,0,93,7154.59,113,Morrow Point Reservoir,117
Jul 2012,90,0,89,7155.86,114,Morrow Point Reservoir,117
Aug 2012,80,0,80,7154.84,113,Morrow Point Reservoir,117
Sep 2012,68,0,71,7150.03,109,Morrow Point Reservoir,117
Oct 2012,34,0,40,7142.8,104,Morrow Point Reservoir,117
Nov 2012,20,0,16,7148.49,108,Morrow Point Reservoir,117
Dec 2012,17,0,18,7146.5,106,Morrow Point Reservoir,117
Jan 2012,56,0,56,6751.28,16,Crystal Reservoir,18
Feb 2012,38,0,38,6751.9,17,Crystal Reservoir,18
Mar 2012,40,0,40,6751.8,17,Crystal Reservoir,18
Apr 2012,71,0,71,6752.1,17,Crystal Reservoir,18
May 2012,84,0,86,6745.87,15,Crystal Reservoir,18
Jun 2012,96,0,97,6744.24,14,Crystal Reservoir,18
